dataset,variation,num_acc_mean,num_acc_std,ave_time_mean,ave_time_std
coin_flip,alpha_025_variation_no_l_reason,0.8099999999999999,0.17639916855435195,1.8591116245587667,0.002710102390899947
coin_flip,alpha_025_variation_no_sentence_transformer,0.8183333333333334,0.16136569923279512,1.7538521965344749,0.008905124292697065
coin_flip,alpha_025_variation_no_small_contemp_gen,0.6033333333333334,0.06485025486114568,1.8965273360411328,0.0032274425581253446
coin_flip,vanilla,0.9,0.099079092984679,1.319839174350103,0.002110843553894568
comsense_qa,alpha_025_variation_no_l_reason,0.75,0.0633771778061051,1.6381234316031137,0.07637852084287612
comsense_qa,alpha_025_variation_no_sentence_transformer,0.5733333333333334,0.07641262257565101,1.6453568534056344,0.05525793690260626
comsense_qa,alpha_025_variation_no_small_contemp_gen,0.6250000000000001,0.0549241901776136,1.7078191188971201,0.02751463204319946
comsense_qa,vanilla,0.7683333333333333,0.10019425576792758,1.2615920007228851,0.02145170674035925
gsm8k,alpha_025_variation_no_l_reason,0.06333333333333334,0.01699673171197595,1.7349387578169504,0.0015580671318266505
gsm8k,alpha_025_variation_no_sentence_transformer,0.07,0.008164965809277263,1.7227395272254944,0.0016684573992386432
gsm8k,alpha_025_variation_no_small_contemp_gen,0.065,0.0,1.7452409251530965,0.0018706327007174184
gsm8k,vanilla,0.11,0.06720615051218651,1.3100483067830402,0.004840712727866632
multi_arith,alpha_025_variation_no_l_reason,0.10933333333333334,0.05853963519606942,1.7188325784824514,0.004258827614694679
multi_arith,alpha_025_variation_no_sentence_transformer,0.085,0.006683312551921141,1.7130486797403404,0.012516124117074529
multi_arith,alpha_025_variation_no_small_contemp_gen,0.09433333333333334,0.027450966386551055,1.8296594231216996,0.008922705761834428
multi_arith,vanilla,0.10733333333333334,0.005185449728701347,1.2821759643378081,0.03397354210317571
svamp,alpha_025_variation_no_l_reason,0.4533333333333333,0.022484562605386726,1.731332202355067,0.0055363818922774585
svamp,alpha_025_variation_no_sentence_transformer,0.41,0.049665548085837785,1.9642748618125916,0.025505483921479465
svamp,alpha_025_variation_no_small_contemp_gen,0.39666666666666667,0.013123346456686337,1.7813666109244028,0.0033014227913957467
svamp,vanilla,0.43666666666666665,0.02094967514996089,1.3048469293117522,0.01809915540312136
