dataset,alpha,log_file,best_temp,num_acc_mean,num_acc_std,ave_time_mean,ave_time_std
multiarith,0.1,output.log,0.7,0.0926666666666666,0.0294089933334837,1.7564402911398147,0.0138715272409401
multiarith,0.3,output.log,0.7,0.1073333333333333,0.0148174071805952,1.7132671016233936,0.0216947461628784
multiarith,0.5,output.log,0.5,0.1146666666666666,0.0148174071805952,1.713000718752543,0.0140569924383681
multiarith,0.7,output.log,0.7,0.0926666666666666,0.0051854497287013,1.7565736170168276,0.0048507196104047
multiarith,0.9,output.log,0.9,0.1056666666666666,0.0080138768534475,1.789277720009839,0.006512018133037
comsense_qa,0.1,output.log,0.5,0.77,0.0949561302216274,1.72503031373024,0.0125406055464067
comsense_qa,0.3,output.log,0.1,0.7016666666666667,0.0300924501421129,1.5314784149328868,0.2359121173891313
comsense_qa,0.5,output.log,0.5,0.6816666666666666,0.0520149551144241,1.9584632488091789,0.0940918173738624
comsense_qa,0.7,output.log,0.1,0.6516666666666667,0.0062360956446232,1.644154057502747,0.1540359787857868
comsense_qa,0.9,output.log,0.5,0.68,0.0426223728418147,1.6933748614788051,0.048008809971225
coinflip,0.1,output.log,0.7,0.8150000000000001,0.145315748171582,1.7516690560181936,0.0142598575369213
coinflip,0.3,output.log,0.5,0.7916666666666666,0.1757997598279234,1.7392659159501394,0.0024220728332853
coinflip,0.5,output.log,0.9,0.8233333333333334,0.1368900613225404,1.7063550643126169,0.0072730043318242
coinflip,0.7,output.log,0.9,0.6216666666666667,0.2815532315961268,1.739766218662262,0.0020668848920952
coinflip,0.9,output.log,0.1,0.8283333333333333,0.2427733282073813,1.76822061141332,0.0012064084015723
gsm8k,0.1,output.log,0.7,0.0783333333333333,0.0309120616516523,1.7446988944212596,0.0064805177440305
gsm8k,0.3,output.log,0.7,0.0966666666666666,0.0143372087784043,1.7459155865510303,0.0038935351512361
gsm8k,0.5,output.log,0.5,0.07833333333333332,0.0023570226039551605,1.7013434358437856,0.00427873207305423
gsm8k,0.7,output.log,0.3,0.0866666666666666,0.0224845626053867,1.795148461659749,0.0122573002298571
gsm8k,0.9,output.log,0.9,0.0616666666666666,0.0192930615046503,1.915864099661509,0.0466863003496286
svamp,0.1,output.log,0.1,0.4283333333333333,0.016499158227686123,1.681993625561396,0.01082475051846039
svamp,0.3,output.log,0.3,0.445,0.029439202887759492,1.6420104563236235,0.011224144318598712
svamp,0.5,output.log,0.3,0.43333333333333335,0.009428090415820642,1.6816426646709441,0.006187899521773554
svamp,0.7,output.log,0.1,0.41333333333333333,0.03965125751123441,1.7215020219484964,0.03747757122666024
svamp,0.9,output.log,0.5,0.42333333333333334,0.022484562605386733,1.7448879277706146,0.005563971135825078
