dataset,variation,num_acc_mean,num_acc_std,ave_time_mean,ave_time_std
coin_flip,alpha_025_variation_no_l_reason,0.8366666666666666,0.08329999333066536,1.7053438131014504,0.06272501845069106
coin_flip,alpha_025_variation_no_sentence_transformer,0.7600000000000001,0.09192388155425116,2.016629502773285,0.08401154211345892
coin_flip,alpha_025_variation_no_small_contemp_gen,0.7799999999999999,0.1059087657687817,1.7806639011700949,0.018778726097424685
coin_flip,vanilla,0.8783333333333333,0.06536223850375861,1.3730597559611002,0.013727221451538306
comsense_qa,alpha_025_variation_no_l_reason,0.8300000000000001,0.057154760664940824,2.074946302572886,0.16264843580866298
comsense_qa,alpha_025_variation_no_sentence_transformer,0.7733333333333334,0.009428090415820642,1.7610583106676738,0.04699787424680287
comsense_qa,alpha_025_variation_no_small_contemp_gen,0.7866666666666666,0.03091206165165232,1.8987095840771993,0.007147444092869928
comsense_qa,vanilla,0.8166666666666668,0.02778888666755511,1.3487241474787393,0.02672086602416437
gsm8k,alpha_025_variation_no_l_reason,0.09833333333333333,0.034721111093332764,1.8507930696010588,0.0003107730788713204
gsm8k,alpha_025_variation_no_sentence_transformer,0.09833333333333334,0.026562295750848713,1.8953480724493665,0.01035223496858543
gsm8k,alpha_025_variation_no_small_contemp_gen,0.07666666666666666,0.037043517951488115,1.8403509151935575,0.0014444328804694116
gsm8k,vanilla,0.14333333333333334,0.006236095644623234,1.3924043981234233,0.0024471022420016336
multi_arith,alpha_025_variation_no_l_reason,0.161,0.015556349186104046,1.8240315817020558,0.0023625590755316853
multi_arith,alpha_025_variation_no_sentence_transformer,0.14433333333333334,0.023570226039551584,1.795688616787946,0.011152875484576724
multi_arith,alpha_025_variation_no_small_contemp_gen,0.17033333333333334,0.009285592184789408,1.9355145268970066,0.04067526384818755
multi_arith,vanilla,0.19066666666666665,0.022291004663067313,1.4978662150877495,0.16327379737850656
svamp,alpha_025_variation_no_l_reason,0.49,0.021602468994692887,1.9056260279814403,0.008595610129908667
svamp,alpha_025_variation_no_sentence_transformer,0.41500000000000004,0.06013872850889573,2.192655785481135,0.130580663517903
svamp,alpha_025_variation_no_small_contemp_gen,0.465,0.0040824829046386115,1.9024510391553242,0.008060633826316424
svamp,vanilla,0.46166666666666667,0.012472191289246471,1.3721368165810903,0.00994136032602209
